sex,Final.IGF.1,body.weight,pctFat,fem.dens,fem.circ,D1Mit64,D1Mit236,D1Mit7,D1Mit386,D1Mit14,D1Mit540,D1Mit17,D2Mit365,D2Mit323,D2MIT206,D2Mit395,D2MIT285,D2MIT113,D3Mit60,D3MIT131,D3MIT178,D3Mit230,D3Mit57,D3Mit19,D3Mit258,D4MIT104,D4Mit111,D4Mit15,D4Mit170,D4Mit42,D5Mit146,D5Mit66,D5Mit200,D5MIT88,D5Mit95,D5Mit143,D6Mit86,D6Mit74,D6Mit14,D6Mit52,D7Mit75,D7Mit228,D7MIT93,D7MIT7,D7Mit332,D7Mit259,D8Mit124,D8Mit292,D8MIT75,D8Mit200,D8Mit92,D9Mit90,D9Mit1001,D9Mit253,D9Mit1006,D9Mit259,D9Mit12,D9Mit151,D10Mit77,D10Mit126,D10MIT96,D10Mit14,D11Mit2,D11Mit188,D11MIT30,D11Mit213,D11Mit214,D12Mit169,D12Mit60,D12Mit201,D12Mit5,D12MIT133,D13Mit16,D13Mit88,D13Mit125,D16Mit132,D13Mit35,D14Mit98,D14MIT60,D14Mit5,D14Mit68,D14Mit75,D15MIT80,D15MIT143,D15Mit67,D15Mit242,D16Mit60,D16Mit5,D16Mit189,D16Mit86,D17Mit164,D17MIT175,D17Mit20,D17Mit39,D17Mit76,D18Mit64,D18Mit147,D18Mit123,D18Mit9,D18Mit4,D19Mit68,D19Mit40,D19MIT88,D19MIT17,D19MIT108
1,7,15.57,43.7,0.496,3.393,-,H,B,H,B,B,B,A,A,H,H,H,A,H,H,A,H,H,H,H,-,B,H,H,H,H,A,A,A,A,B,H,H,A,A,B,B,B,B,-,H,A,A,A,-,H,B,B,B,B,B,B,H,H,H,H,-,B,H,A,A,A,H,H,H,H,H,B,B,B,-,H,H,H,A,A,A,H,A,A,H,B,B,B,B,H,H,H,H,H,H,H,H,H,-,H,H,H,H,A
1,12.3,24.43,-,0.491,3.678,A,A,A,A,H,H,H,H,H,A,H,A,H,H,H,H,H,A,H,A,B,A,A,H,B,H,H,H,H,H,A,A,A,A,A,H,H,H,H,H,H,A,A,H,H,H,H,B,B,B,B,H,H,B,B,B,-,H,H,B,B,B,H,H,B,B,B,-,H,H,B,B,A,A,A,A,A,H,A,H,A,A,A,A,A,A,H,H,H,H,B,B,H,H,-,H,B,B,B,H
1,9.2,22.34,44,0.464,3.883,H,-,H,H,A,A,-,-,H,A,A,A,A,B,B,A,A,A,-,H,B,B,B,H,H,H,B,B,H,H,A,H,B,B,H,-,A,-,H,H,H,B,B,B,H,H,-,A,A,A,A,H,H,B,B,B,-,B,-,B,B,H,A,A,H,H,H,H,H,H,H,H,-,B,B,B,H,H,H,H,H,A,H,H,H,H,H,A,A,A,H,B,B,H,A,H,H,H,B,H
1,11.1,20.15,42.3,0.49,3.923,H,-,B,H,H,H,B,-,B,H,H,H,H,H,H,H,H,H,-,H,B,H,H,B,B,H,H,H,A,H,H,B,H,H,B,B,B,B,B,B,B,A,A,A,A,A,-,A,A,A,A,H,H,H,H,H,-,H,-,A,A,H,B,B,B,B,B,B,B,B,B,B,-,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,B,B,A,A,H,H,B
0,7.9,22.11,51.6,0.451,4.041,H,-,A,A,H,H,H,-,B,B,H,B,H,A,A,A,H,A,A,A,H,H,H,A,A,B,B,A,A,A,H,H,A,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,B,H,H,H,-,A,-,A,A,A,H,H,H,H,B,B,H,H,B,B,-,H,H,H,H,H,H,B,B,A,H,H,H,B,B,H,H,H,H,H,B,A,A,H,H,H,H,B
0,18.1,22.79,45.5,0.573,3.923,H,-,H,H,B,B,H,-,H,B,H,B,B,B,B,H,H,A,H,A,B,B,B,H,H,H,H,H,H,A,A,H,H,A,A,B,H,-,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,B,-,B,-,H,H,H,A,H,H,-,H,B,B,H,A,H,-,H,H,H,B,H,A,H,H,H,H,H,H,A,H,H,B,B,H,H,B,B,-,A,H,H,H,H
0,13.3,17.09,35.5,0.498,3.753,B,-,B,B,H,A,A,-,H,H,H,H,B,B,-,B,B,H,A,H,H,A,A,H,H,A,H,H,H,B,B,H,H,H,H,H,H,A,A,A,H,A,A,A,A,A,A,H,H,H,H,H,H,H,H,A,-,B,-,H,H,H,A,A,A,A,H,H,A,H,H,H,-,A,A,B,A,B,A,A,A,H,B,H,H,H,A,H,H,H,A,B,B,B,H,H,H,B,B,H
0,9.2,20.07,47.3,0.56,3.827,B,B,-,H,B,B,-,-,-,H,H,B,H,-,A,-,H,A,A,A,B,-,-,A,A,-,-,H,-,A,H,H,H,H,-,H,-,H,-,-,-,B,-,B,-,-,-,B,B,B,-,-,H,-,-,B,-,-,-,-,-,-,-,H,-,H,H,H,H,H,-,-,H,-,-,H,H,H,-,-,-,A,-,-,-,-,H,H,H,H,H,-,A,H,A,B,A,A,A,A
1,3.8,27.78,50.3,0.482,3.833,A,-,A,A,-,-,H,H,H,B,B,B,H,H,A,A,H,A,H,H,B,-,H,B,H,B,B,A,A,A,H,H,H,H,H,H,A,H,H,A,A,A,A,-,A,-,H,H,H,H,H,A,-,-,B,-,H,-,B,B,-,B,H,H,A,-,H,H,-,-,-,H,-,-,H,H,H,H,H,B,B,A,H,H,H,A,A,H,H,H,-,A,A,A,H,B,H,H,A,A
1,11.1,24.59,48.6,0.485,3.938,B,H,B,H,H,H,H,-,B,B,B,B,H,A,A,-,H,H,H,H,H,H,H,H,H,H,-,A,-,A,H,B,H,H,-,B,H,H,A,A,A,A,-,A,B,-,H,A,A,A,A,B,B,A,-,H,H,B,-,B,-,B,A,H,-,H,H,H,H,H,-,-,A,-,A,A,H,H,A,H,H,A,H,H,B,H,H,B,H,H,B,A,A,A,H,H,A,H,H,H
0,13.7,19.46,44.7,0.533,3.828,A,A,A,A,H,A,H,-,B,B,B,B,H,H,-,-,H,B,B,B,B,H,H,B,B,H,H,H,A,A,H,A,A,H,B,H,A,H,A,H,H,B,B,H,H,B,A,H,H,H,H,B,H,A,H,B,-,H,-,H,-,H,B,B,-,B,H,H,H,A,-,-,H,-,B,B,B,H,-,A,A,A,H,H,H,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H
0,-,17.71,33.5,0.48,3.915,H,A,A,A,A,H,A,A,A,H,H,B,H,H,H,B,B,B,A,B,A,H,H,H,H,H,A,A,A,A,A,A,A,A,A,B,B,H,H,H,H,B,B,B,B,B,H,H,H,A,A,A,H,A,-,H,-,A,A,A,H,H,H,H,H,B,B,A,B,B,B,B,B,H,H,H,B,H,H,A,H,H,A,A,H,H,H,H,H,H,A,A,H,A,-,H,H,A,A,H
0,7.1,13.66,28.2,0.502,3.788,H,A,H,A,B,B,H,H,B,H,B,B,H,H,B,B,B,H,B,B,A,H,H,H,A,H,B,H,B,B,H,A,A,A,A,H,H,B,A,A,H,B,B,B,A,H,H,H,H,B,B,H,H,H,H,A,-,A,B,A,A,A,H,H,H,A,A,A,A,A,-,B,B,B,A,B,H,H,H,A,H,B,H,B,B,B,H,-,H,A,B,H,B,H,-,H,H,A,A,H
0,11.8,22.81,46.2,0.467,4.016,H,H,H,H,A,A,A,H,H,B,B,B,H,B,B,B,B,B,H,B,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,H,H,H,B,B,-,A,A,-,A,A,H,H,H,H,H,H,A,H,H,A,-,H,A,H,H,H,B,B,H,H,A,A,H,B,H,H,A,A,-,A,-,H,H,A,H,B,B,H,A,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H
1,5.9,18.07,43.7,0.484,3.579,H,B,H,B,H,-,-,A,A,A,A,B,H,H,H,-,A,A,A,B,H,-,A,A,A,B,H,H,A,A,H,H,H,A,A,B,H,H,H,-,H,A,A,H,H,H,H,H,H,-,H,A,H,A,A,H,-,A,A,A,A,H,B,B,H,-,A,H,H,H,B,H,H,H,H,H,H,H,H,-,H,A,-,A,A,H,H,H,-,B,H,B,B,H,-,B,B,B,B,H
1,2,22.67,48.1,0.449,3.795,A,A,A,A,H,-,-,H,B,B,B,H,A,H,H,H,H,H,H,H,B,H,A,A,-,H,H,A,A,A,A,H,B,A,A,B,A,H,H,A,A,H,A,H,-,B,A,A,A,A,A,A,A,H,H,H,-,H,A,A,A,H,B,B,B,-,-,H,A,H,A,B,H,H,H,H,H,B,-,A,A,H,H,H,H,A,A,A,A,H,B,B,H,H,-,H,H,-,H,-
1,3.7,17.87,38.1,0.482,3.755,H,A,H,A,A,-,-,B,H,H,H,B,B,B,B,B,B,B,H,B,B,A,A,H,B,B,B,B,B,B,B,H,H,A,A,H,H,H,A,A,A,A,A,A,-,B,H,H,H,H,H,H,B,H,-,H,-,H,H,H,B,B,A,A,H,H,H,H,B,H,-,A,H,H,H,A,A,H,H,A,H,H,H,A,A,H,H,H,A,H,B,B,B,B,-,H,H,A,H,H
1,0.3,23.27,50.1,0.443,3.96,H,H,H,H,H,H,H,H,H,A,A,H,A,H,H,H,H,H,A,H,H,H,H,B,B,B,B,H,H,H,H,A,A,A,H,A,A,A,H,B,B,B,B,B,A,A,A,A,A,A,A,A,A,B,-,H,-,A,A,A,A,A,H,A,H,H,H,B,B,H,H,H,H,H,H,A,-,A,A,H,A,A,A,H,H,A,-,A,A,A,B,B,B,A,-,A,A,A,A,H
0,9.1,11.84,35.9,0.46,3.844,H,B,H,H,A,A,A,H,H,H,A,H,H,A,A,A,H,H,B,H,A,H,H,A,A,-,H,H,H,H,A,-,H,A,H,H,H,A,A,H,-,A,A,A,-,H,A,A,A,H,H,H,-,H,B,H,-,B,B,B,H,B,H,H,H,H,B,-,H,H,-,A,H,H,H,H,-,H,H,H,H,A,H,H,H,H,-,B,B,B,H,-,B,B,-,H,H,A,A,A
0,6.8,12.14,23.6,0.481,3.731,A,A,A,A,A,A,A,A,A,A,A,H,H,H,H,H,H,H,B,H,A,H,H,H,H,H,H,A,A,A,A,-,H,A,A,B,B,B,H,A,A,H,H,H,H,H,H,H,H,H,H,H,H,H,-,A,-,H,H,H,A,A,A,A,H,H,H,-,A,A,A,A,B,H,H,H,H,H,H,H,A,H,H,H,H,H,-,H,H,H,A,A,H,A,-,H,H,H,H,A
1,5.9,21.45,46.1,0.496,3.955,H,B,B,H,B,B,B,A,H,H,H,H,H,B,B,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,A,A,-,H,H,H,H,H,H,H,H,-,H,H,B,B,B,B,H,H,H,A,B,B,-,A,A,A,A,A,H,H,H,B,B,B,A,H,H,H,H,H,H,H,H,B,H,H,A,H,H,H,H,H,B,A,A,H,A,A,H,B,-,B,H,H,A,H
1,3,19.2,38.9,0.473,3.899,-,-,-,-,-,-,H,-,-,-,H,-,-,A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,H,-,A,-,-,A,-,-,H,-,B,-,-,-,-,-,-,-,-,-,-,-,-,H,-,-,-,-,-,-,-,A,-,-,-,-,-,H,-,-,-,-,-,-,-,-,-,B,-,-,-,A,-,-,-,-,-,-,A,-,-,-,-,H,-,A
1,9.5,20.39,-,0.549,3.518,H,B,B,B,B,B,-,A,A,B,H,H,B,-,A,A,H,H,H,H,H,A,A,A,A,B,B,B,B,B,A,H,H,A,H,A,H,B,B,B,H,B,B,B,B,H,B,-,-,B,B,B,H,A,A,B,-,H,H,B,B,H,B,B,B,B,H,H,B,B,-,B,B,B,B,B,B,B,B,H,H,B,B,H,H,H,H,H,H,H,H,H,B,-,-,B,B,B,H,-
1,8.8,15.09,38.1,0.514,3.263,B,H,H,H,H,B,H,B,B,A,B,H,H,H,H,H,H,H,B,H,-,A,A,A,A,H,H,H,A,A,H,H,A,A,A,B,-,H,A,A,A,H,-,-,-,A,B,B,B,B,B,B,B,B,B,H,-,-,H,H,H,H,A,H,H,H,H,A,B,B,-,H,-,H,H,B,B,B,-,A,A,H,H,H,A,A,B,B,B,B,A,A,B,B,-,B,B,B,B,A
1,3.4,20.62,46.6,0.45,3.803,H,H,H,A,A,H,H,B,B,B,H,B,H,-,H,H,H,H,H,B,B,B,H,A,A,H,B,B,B,B,B,H,H,A,A,A,-,A,A,A,H,B,-,B,-,A,H,H,H,H,H,H,A,H,H,H,-,-,A,A,A,A,H,A,A,A,A,H,A,H,-,B,B,B,B,B,H,H,H,A,H,H,B,B,B,B,B,H,H,A,H,H,B,B,-,A,A,A,A,-
0,11,16.11,32.4,0.455,4.1,A,H,H,H,A,H,A,A,H,H,A,A,H,-,B,B,H,H,A,A,H,H,H,B,B,A,H,H,A,A,H,A,H,A,A,A,A,B,B,H,A,H,B,B,H,A,H,H,H,H,H,H,H,B,B,H,-,H,H,H,H,B,A,H,H,H,H,H,H,H,-,A,H,A,A,H,H,A,H,A,H,B,B,H,H,B,B,B,B,B,H,H,H,A,-,A,A,A,A,H
0,16.1,21.49,44,0.492,3.931,H,H,H,H,H,H,A,H,H,A,A,B,B,H,H,H,H,B,B,B,-,B,H,A,A,B,H,H,H,H,A,H,A,A,-,-,H,H,H,B,H,H,H,H,B,A,A,A,A,A,H,H,B,B,B,B,-,A,A,H,H,H,H,H,H,-,A,A,A,H,-,H,A,A,A,A,A,H,A,H,H,B,B,B,B,B,B,B,-,H,B,B,B,B,-,H,H,A,A,A
0,10,16.17,34.7,0.461,3.924,-,-,-,-,-,-,-,-,-,-,-,-,-,H,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,A,-,-,-,-,-,H,-,-,-,-,-,-,-,-,-,-,-,-,-,H,-,-,-,-,-,-,-,-,-,-,-,A,-,-
1,7.1,19.86,40,0.439,3.578,-,A,-,-,-,H,-,-,-,H,-,-,A,-,-,H,-,-,-,-,-,A,A,-,-,H,-,-,-,-,-,-,-,-,A,H,-,A,-,H,H,-,A,-,-,B,B,-,B,-,B,H,-,H,-,-,-,-,-,-,B,-,-,-,-,-,B,H,B,-,-,-,-,-,-,-,-,-,A,-,H,-,-,H,-,-,-,H,-,-,H,-,B,-,-,H,-,-,-,H
0,11.7,15.42,36.1,0.517,3.828,H,H,H,-,H,H,-,H,H,H,H,B,B,-,B,B,-,H,H,H,-,H,H,H,H,H,H,H,B,B,B,-,A,A,A,H,H,H,A,A,H,H,H,-,-,H,H,H,H,H,H,H,H,H,H,H,-,H,A,-,H,H,B,H,B,B,B,A,H,H,H,B,H,H,H,H,B,H,A,H,H,B,B,B,B,H,H,B,B,H,A,A,H,H,H,A,H,H,H,B
0,11,18.01,47.6,0.527,3.882,H,B,B,-,H,H,-,A,H,H,H,H,H,-,H,H,-,A,H,H,B,B,B,B,B,H,H,H,H,H,B,-,A,A,A,A,A,A,H,H,H,A,A,-,-,H,H,A,A,H,H,H,H,H,H,B,B,H,B,B,B,H,H,H,H,H,H,-,H,B,H,H,H,H,H,H,B,H,A,H,H,B,B,A,A,B,H,H,H,H,H,H,H,H,H,A,A,A,A,A
1,13.2,22.98,44,0.494,3.969,H,A,A,H,B,B,-,A,H,H,-,H,H,-,H,H,-,H,H,H,A,A,H,B,B,H,H,A,H,-,-,-,A,A,A,H,A,H,-,H,H,A,A,A,-,A,H,-,A,H,-,-,-,H,H,B,B,-,B,B,-,H,H,-,B,-,B,-,-,B,B,B,H,-,B,-,B,-,A,A,-,A,A,-,A,A,H,H,H,A,H,H,H,-,B,A,A,-,A,H
1,8.6,24.18,47.7,0.455,4.062,A,H,H,H,A,H,-,A,A,A,A,A,A,-,A,A,-,H,A,A,H,H,H,H,H,A,H,H,H,H,A,-,B,A,A,A,H,B,B,B,B,A,H,A,-,H,A,A,A,H,A,A,H,H,H,H,-,H,H,A,A,A,B,B,B,B,H,H,H,A,A,H,A,A,A,-,A,H,A,A,A,H,H,H,H,H,H,H,H,H,B,H,H,H,H,A,A,A,A,H
1,13.9,19.78,-,0.458,3.86,A,H,H,H,H,H,-,H,H,A,A,A,A,-,A,A,-,A,H,H,A,B,B,H,H,B,H,A,A,A,H,-,A,A,A,H,H,A,H,-,B,H,H,H,-,H,B,B,B,B,B,B,B,H,H,A,H,H,H,H,A,H,B,B,A,A,A,-,H,H,H,H,H,H,H,B,B,B,H,H,B,H,B,B,B,B,B,H,H,H,H,H,H,H,H,H,A,A,A,A
0,8.3,13.47,27.8,0.531,3.535,B,B,H,H,H,H,-,-,A,A,A,A,H,H,A,-,A,A,H,A,H,H,B,B,B,H,B,B,B,B,B,B,H,B,A,B,B,H,-,H,-,H,A,A,H,H,H,H,H,H,B,H,A,-,H,H,-,H,-,B,-,-,H,H,-,H,B,A,H,H,H,-,B,-,-,H,H,B,-,B,B,A,H,H,H,H,H,H,B,B,H,H,A,H,H,H,H,H,H,B
0,12.7,11.75,31.2,0.517,3.291,H,B,H,H,H,B,A,B,B,B,B,B,B,H,A,-,B,B,B,B,B,H,A,A,A,H,H,H,H,B,B,H,H,A,H,H,B,H,B,A,H,H,H,H,H,A,H,A,A,A,A,A,H,-,-,B,-,B,-,H,-,-,H,H,-,H,H,H,A,A,-,-,H,-,B,B,H,B,-,H,H,A,A,A,-,H,A,A,A,A,A,B,B,H,H,H,B,B,B,H
0,9.8,19.64,40.2,0.506,3.86,B,H,H,H,H,H,B,B,B,H,H,H,B,H,H,B,H,H,H,H,H,H,B,H,H,H,H,H,H,H,A,H,H,A,A,B,H,B,H,H,H,A,A,A,A,H,H,H,H,H,H,H,H,H,H,H,-,A,H,H,-,B,H,H,A,H,H,H,H,H,H,H,A,B,A,A,H,H,H,H,H,H,H,H,H,H,A,A,A,A,H,H,H,H,H,B,B,B,B,H
1,11.1,22.64,43,0.498,3.796,H,A,-,A,H,A,-,-,A,H,H,H,B,H,A,B,A,A,H,A,A,H,H,H,H,B,B,A,-,A,H,H,H,H,-,H,H,H,H,B,H,H,-,H,H,-,B,H,B,B,B,-,H,H,H,A,A,H,H,A,-,B,H,H,B,B,H,H,H,H,B,H,H,-,A,H,H,H,H,H,B,H,H,H,B,H,-,H,H,H,H,H,H,H,B,H,H,H,H,H
1,13,24.11,45.4,0.515,3.779,A,H,-,A,H,H,-,-,H,H,H,H,A,-,H,-,H,H,B,H,H,H,H,H,B,-,-,B,-,B,H,B,H,-,-,H,H,B,-,-,-,A,-,A,-,-,-,H,H,B,-,-,H,-,H,B,H,B,-,-,-,B,-,H,-,H,B,B,B,B,A,H,H,-,H,H,H,A,A,A,A,H,H,A,A,H,H,H,H,B,A,-,H,H,H,H,H,H,H,A
1,6.3,26.7,50.8,0.506,3.836,A,B,H,B,B,B,H,-,H,B,B,B,B,B,A,-,B,B,B,B,B,B,H,A,A,B,B,A,A,A,H,H,H,B,H,H,H,H,H,H,H,B,H,H,A,H,H,H,H,H,H,B,H,A,A,B,H,B,H,A,-,A,B,B,B,B,B,A,A,A,A,A,B,B,-,A,A,H,H,B,H,B,B,H,H,H,A,H,H,H,H,H,H,H,H,H,H,A,A,A
1,2.2,24.99,47.1,0.487,3.779,B,A,H,H,H,A,B,-,B,B,B,H,H,H,B,B,H,B,H,H,A,A,-,A,A,B,B,A,A,A,A,A,A,H,H,B,H,H,A,B,B,A,H,A,A,H,H,H,H,H,H,B,H,H,H,A,A,H,-,H,-,H,B,B,-,H,B,A,H,H,-,H,H,-,-,H,B,H,B,H,H,B,B,A,A,H,H,B,B,B,H,H,H,H,B,H,H,H,H,H
1,18.7,25.17,47.4,0.549,3.819,H,A,-,H,H,A,H,-,H,H,H,H,H,H,B,H,B,B,H,H,H,H,H,B,B,H,-,H,-,H,A,H,H,H,-,B,-,B,H,A,-,B,H,B,H,-,H,-,H,B,B,B,-,-,H,H,H,B,B,B,-,H,H,A,H,B,B,B,-,H,H,H,A,B,A,A,-,-,H,H,-,A,A,A,-,B,B,H,H,H,H,H,H,B,H,H,H,H,B,H
1,5,19.19,33.8,0.503,3.755,H,H,H,H,H,B,-,H,H,H,H,H,H,-,B,B,-,H,A,H,A,H,H,H,H,H,H,H,B,B,H,-,B,A,B,B,H,H,B,B,B,-,H,H,-,H,B,B,B,B,B,B,H,B,H,H,B,H,A,A,A,B,A,-,A,A,A,A,H,B,B,B,-,H,H,H,H,A,H,A,A,H,A,A,A,B,B,B,B,B,A,A,A,A,A,H,H,H,H,H
1,9.3,16.26,36.5,0.522,3.819,A,A,A,A,A,H,-,H,A,A,A,H,H,-,B,B,-,B,H,H,H,H,H,H,H,H,H,B,B,B,B,-,H,A,H,A,A,A,A,A,A,H,H,H,-,B,A,A,A,H,A,A,H,-,A,B,B,B,H,H,H,-,H,H,H,H,H,B,H,A,A,H,B,B,B,A,H,H,-,A,A,B,B,H,A,B,B,B,B,B,-,H,B,B,B,A,A,A,A,A
1,6.5,21.34,45.5,0.487,3.67,B,B,H,H,H,H,-,A,A,H,B,B,B,-,B,B,-,B,H,B,H,H,H,H,H,A,H,B,B,H,H,-,A,A,A,A,A,A,A,-,A,H,A,-,-,H,B,B,B,-,B,B,H,-,H,H,A,H,H,H,H,-,A,A,H,H,H,H,B,B,B,-,-,B,B,-,H,A,-,A,A,-,H,H,H,H,H,A,A,A,-,B,B,B,B,-,-,H,H,B
1,12.8,20.91,-,0.483,3.86,A,H,A,A,H,H,-,H,H,A,A,H,B,-,A,A,-,H,H,H,H,H,H,B,B,A,A,A,B,B,H,-,B,A,B,H,H,H,A,A,A,H,H,H,-,A,A,A,A,H,A,H,H,H,H,B,B,A,A,H,H,H,H,H,A,A,A,H,H,B,H,H,B,B,B,B,H,B,B,H,B,A,A,H,H,B,B,B,H,H,H,H,H,H,H,H,B,B,B,H
1,4.8,20.35,45.3,0.481,3.474,H,H,A,A,H,H,-,B,H,H,H,H,B,-,H,H,-,H,H,H,H,A,A,A,B,H,H,H,A,A,A,-,B,A,H,H,H,H,H,A,A,B,B,B,-,H,H,H,H,H,H,B,H,B,A,-,H,A,A,A,A,A,H,A,A,A,A,-,B,B,B,B,A,A,A,A,A,B,B,H,B,H,A,A,A,H,H,H,H,H,H,H,H,H,A,H,H,A,A,A
1,9.3,25.18,49.4,0.514,3.68,B,H,H,H,H,H,-,H,B,B,B,B,B,-,A,A,-,A,H,H,H,-,B,H,H,H,A,A,A,H,H,-,H,A,H,B,B,B,B,-,H,B,B,B,-,H,H,H,H,H,H,A,A,-,H,H,H,A,H,H,H,-,A,A,A,A,H,-,H,H,A,-,H,H,H,-,H,H,-,A,-,A,B,-,B,A,H,A,A,H,-,B,B,B,B,B,B,H,H,H
1,6.8,28.4,-,0.474,4.024,H,H,-,H,A,A,-,H,H,H,H,A,A,-,A,H,-,H,A,H,H,B,B,B,B,H,H,B,B,B,A,-,A,A,B,B,B,H,H,H,H,A,A,-,-,H,H,H,H,H,A,H,H,H,H,-,A,H,H,H,B,-,B,H,H,H,H,-,B,H,H,-,H,H,-,-,H,B,-,H,B,H,H,B,B,H,H,H,A,A,-,B,B,B,H,H,B,B,-,B
1,9.8,18.75,39.2,0.48,3.883,B,A,-,H,A,A,H,-,A,A,A,A,A,A,B,-,H,A,A,A,B,H,H,A,A,H,H,A,H,H,A,H,B,B,A,B,A,H,B,H,H,A,A,A,B,A,H,H,H,B,-,B,A,-,H,A,A,A,-,A,-,H,H,H,H,H,B,A,A,A,-,B,H,-,B,B,B,H,B,B,B,A,H,H,-,B,B,H,H,A,H,-,H,H,B,A,H,B,B,B
0,20.6,21.84,43.1,0.522,3.804,A,H,-,A,H,H,H,-,A,A,A,H,B,B,A,H,A,H,B,B,H,H,H,H,A,B,B,B,B,B,B,A,H,H,H,H,B,A,H,H,H,H,H,H,H,B,A,A,A,A,A,B,A,-,-,H,H,H,H,B,-,B,H,H,A,H,H,B,H,H,-,H,A,-,H,H,H,H,H,B,B,A,A,A,-,H,B,B,H,H,A,A,A,H,H,B,B,B,H,A
0,-,14.31,25.9,0.509,3.755,A,H,H,H,B,-,-,A,A,A,A,A,-,-,B,B,-,B,B,B,A,A,-,B,B,-,B,B,-,B,B,-,A,A,-,B,-,B,B,A,A,H,H,H,-,-,B,-,-,B,B,H,H,H,-,-,H,B,-,-,B,-,-,B,-,B,B,-,B,B,-,H,-,B,-,H,-,H,H,H,H,H,-,A,A,A,H,H,H,H,A,A,A,A,A,-,-,H,-,-
0,-,19.48,44.9,0.523,3.907,H,B,B,B,B,B,-,H,H,H,H,H,B,-,H,H,-,B,B,B,B,B,H,H,H,H,H,H,H,H,A,-,H,A,A,H,H,H,H,H,H,H,H,H,-,A,H,H,H,H,H,H,H,-,B,B,B,H,H,-,B,-,B,B,H,H,-,-,H,H,H,H,H,A,A,A,A,H,H,A,H,A,A,A,A,H,A,H,H,H,-,H,A,A,A,H,H,H,H,A
1,-,17.84,41.1,0.459,3.722,A,H,A,H,H,H,-,A,A,A,A,A,A,-,A,A,-,A,A,A,B,B,B,H,H,H,H,B,H,H,H,-,B,A,A,H,H,B,B,B,H,A,A,H,-,H,H,H,H,H,H,H,H,B,H,H,A,A,A,A,A,-,B,B,B,B,B,H,H,-,B,B,A,A,A,A,A,A,A,H,H,B,B,B,B,H,H,A,H,A,B,B,B,H,H,A,H,H,H,H
0,19.7,15.76,36.6,0.511,3.811,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,13.7,15.05,32.6,0.509,3.647,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,17.1,20.27,40.9,0.542,3.986,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,9.2,14.2,32.9,0.494,3.747,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0,11.7,18.18,36.3,0.489,3.999,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
